,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2023-06-02,14007.23200229883,14212.702079007047,13086.045859277488,14074.70296207997,13909.423200075415
2023-06-09,14348.424153601884,14557.067062382443,13365.348352421717,14364.471832245858,14346.028426637477
2023-06-16,14323.3679193952,14580.3620781593,13389.019113686421,14428.997125803022,14201.187950575086
2023-06-23,14323.674236158718,14587.420060027816,13444.238591096666,14453.368481270916,14253.242717990413
2023-06-30,14417.217850747385,14767.209660668097,13646.755825505019,14568.450102993842,14303.669195874427
2023-07-07,14828.715495749759,15061.68442232001,13852.183381234314,14769.307685633989,14625.75104854638
2023-07-14,14955.777696753485,15242.03002542977,13909.464468837246,14808.956095814467,14710.987883258707
2023-07-21,15059.531802178426,15240.168973998376,13795.37185780535,14729.850845043604,14721.07297272291
2023-07-28,14719.152367695597,14917.52555199973,13603.425457795089,14585.268265192857,14602.325321118333
2023-08-04,14575.273593141103,14795.70867946866,13452.212169735209,14450.761729986205,14507.002366378805
2023-08-11,14169.883189022092,14408.774891455607,13102.27801403359,14058.046031318836,14194.030690578258
2023-08-18,14142.057435439032,14376.88644118034,13151.613487254652,14060.702109254933,14213.55161482013
2023-08-25,14307.210767955707,14564.912883136081,13307.57080200773,14239.03940368132,14651.451228503287
2023-09-01,14241.162489354505,14538.361712345082,13253.11624156174,14127.00746804308,14472.517667456752
2023-09-08,14359.877253553264,14697.192088537699,13454.651760577286,14349.430595417123,14651.775855846556
2023-09-15,13846.508644048869,14242.95402192776,13110.267160266327,14022.715116224123,14084.123208340527
2023-09-22,13660.133163172299,14008.568565330572,12877.721431097432,13824.847978336347,13990.421329191351
2023-09-29,13503.837188425565,13820.524932968121,12784.156344200188,13567.056346677355,13859.176040152439
2023-10-06,13484.345169300988,13772.256972370466,12945.18237901772,13540.952943126353,14158.233054401211
2023-10-13,13464.45343559917,13832.931645565142,12870.871178277137,13585.800879165206,13922.185692199333
2023-10-20,13214.876772200472,13561.797044933102,12537.494942161742,13259.306310820553,13469.027562819569
2023-10-27,13710.3660497565,14098.772032898241,13071.71401259821,13818.027577014558,14063.555232096242
2023-11-03,14153.604169350589,14512.819679446036,13406.350505806939,14136.054714230424,14164.109324595865
2023-11-10,14432.138690879481,14829.163723457104,13733.878989992723,14476.21093437959,14699.214731609509
2023-11-17,14669.904678814793,15099.42935505733,14052.628431302031,14763.408942339498,14855.598543773327
2023-11-24,14577.755432194688,15088.28801510869,13984.892080312055,14664.967726440442,14900.654757892988
2023-12-01,14614.64019390362,15169.507091684321,13894.926272824023,14691.603513374843,14960.400616936293
2023-12-08,14887.375997265553,15512.838971210847,14222.54939143957,15068.206144833754,15410.292892186479
2023-12-15,15082.440757927634,15736.954495917575,14328.352292339503,15210.001080440023,15495.39266202054
2023-12-22,15228.80751686879,15947.58845717797,14515.240800864398,15501.069425573938,15626.186564467858
2023-12-29,15074.79588636259,15786.731191152237,14430.52657570439,15436.171457314764,15317.721540642271
2024-01-05,15264.756304070908,15935.196702571997,14504.499501204344,15616.869446100163,15615.042056245306
2024-01-12,15073.92051855779,15824.324375541351,14413.99690404065,15452.686382575032,15619.63012269683
2024-01-19,15174.781827505036,15880.143474770683,14396.502784223387,15458.673935169336,15997.91785052597
2024-01-26,15375.293939041414,16106.36018328244,14574.641819749673,15779.116504187323,16036.271282929383
2024-02-02,15536.972932192435,16226.389803652104,14874.292598424141,16001.13255680707,16335.231424256674
2024-02-09,15358.385275875886,15840.847889677783,14363.962101489722,15844.476245870857,16456.19066404745
2024-02-16,15327.35749329173,15893.387894037212,14377.76774428973,15925.417291727064,16636.156849214476
2024-02-23,15236.463240194638,15866.716729856476,14346.479555091282,15944.978252287114,16655.16764477407
2024-03-01,15312.169744129636,15971.029547165372,14651.843686044225,16149.2080027505,16875.78335669626
2024-03-08,15420.647263441784,16147.508211550148,14788.868901509342,16325.273702309281,16880.37142314779
2024-03-15,15525.3871496737,16279.5146689633,14836.623600133908,16464.383019786063,17171.217942019353
2024-03-22,15596.965485226327,16425.571488191115,14892.484897097745,16413.892952838592,17199.825340183757
